Nacionalidad;Provincias;Sexo;Año;Total
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2022;45.630
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2021;45.445
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2020;45.321
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2019;41.626
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2018;40.084
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2017;38.884
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2016;40.318
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2015;41.340
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2014;45.124
TOTAL EXTRANJEROS;33 Asturias;Ambos sexos;2013;48.394
