Nacionalidad;Provincias;Sexo;Año;Total
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2022;142.828
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2021;143.898
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2020;146.721
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2019;138.560
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2018;131.478
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2017;125.716
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2016;126.817
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2015;131.298
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2014;139.912
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2013;154.789
