Provincia,Total,Española,Extranjera,Latitud,Longitud
Álava,336308,301302,35006,42.85,-2.6725
Albacete,387529,356856,30673,38.994,-1.8585
Alicante,1955268,1518766,436502,38.3452,-0.481
Almería,753364,583918,169446,36.834,-2.4637
Asturias,159764,146896,12868,43.361,-5.8494
Ávila,666049,642287,23762,,
Badajoz,1209906,962237,247669,40.656,-4.6999
Barcelona,5797356,4846649,950707,38.8795,-6.9707
Burgos,357370,324220,33150,41.3784,2.1926
Cáceres,388257,372577,15680,42.34,-3.6997
Cádiz,1254866,1195185,59681,39.4753,-6.3729
Cantabria,604086,503118,100968,36.5297,-6.2919
Castellón,491927,457054,34873,43.4623,-3.8043
Ciudad Real,775002,748997,26005,39.9834,-0.033
Córdoba,1123884,1068748,55136,38.9833,-3.9333
Cuenca,198436,172214,26222,37.8882,-4.7794
"Coruña, A",808672,637190,171482,40.0735,-2.1367
Gerona,934072,856467,77605,41.9794,2.8213
Granada,275082,233675,41407,37.1773,-3.5986
Guadalajara,726712,660601,66111,40.6333,-3.1667
Gipuzkoa,534084,477639,56445,43.3183,-2.934
Huelva,226878,194952,31926,37.2617,-6.9447
Huesca,620637,600652,19985,42.1401,-0.408
Islas Baleares,448573,425175,23398,39.5696,2.6502
Jaén,447343,358987,88356,37.7799,-3.7794
La Rioja,322282,277946,44336,42.4687,-2.4448
Las Palmas,324267,304508,19759,28.1235,-15.4367
León,6871903,5830014,1041889,42.5987,-3.567
Lleida,1752728,1438368,314360,41.6177,0.6226
Lugo,1551692,1314926,236766,43.0027,-7.5584
Madrid,672155,591214,80941,40.4168,-3.7038
Málaga,304563,285080,19483,36.7213,-4.4216
Murcia,1006060,952488,53572,37.9835,-1.1296
Navarra,157787,149206,8581,42.8125,-1.6458
Ourense,1145843,991714,154129,42.3358,-7.8633
Palencia,946710,901782,44928,42.008,-4.5235
Pontevedra,327089,308483,18606,42.4385,-8.6445
Salamanca,1067173,906779,160394,40.9704,-5.6635
Segovia,588387,546676,41711,28.4636,-16.2519
Sevilla,155332,135317,20015,40.9481,-4.1075
Soria,1959394,1869197,90197,37.3886,-5.9823
Tarragona,89528,79165,10363,41.7632,-2.4676
Santa Cruz de Tenerife,848592,697156,151436,41.1189,-1.9812
Teruel,135046,118354,16692,40.3451,-1.1063
Toledo,731112,644114,86998,39.8628,-4.0273
Valencia,2656841,2306155,350686,39.4699,-0.3763
Valladolid,521333,487981,33352,41.6523,-4.7245
Vizcaya,1153282,1054185,99097,43.263,-2.934
Zamora,166927,159326,7601,41.5037,-5.7498
Zaragoza,979365,846939,132426,41.6488,-0.8891
