Nacionalidad;Sexo;Provincias;Año;Total
TOTAL EXTRANJEROS;Ambos sexos;33 Asturias;2022;45.630
TOTAL EXTRANJEROS;Ambos sexos;33 Asturias;2021;45.445
TOTAL EXTRANJEROS;Ambos sexos;33 Asturias;2020;45.321
TOTAL EXTRANJEROS;Ambos sexos;33 Asturias;2019;41.626
TOTAL EXTRANJEROS;Ambos sexos;33 Asturias;2018;40.084
TOTAL EXTRANJEROS;Ambos sexos;33 Asturias;2017;38.884
TOTAL EXTRANJEROS;Ambos sexos;33 Asturias;2016;40.318
TOTAL EXTRANJEROS;Ambos sexos;33 Asturias;2015;41.340
TOTAL EXTRANJEROS;Ambos sexos;33 Asturias;2014;45.124
TOTAL EXTRANJEROS;Ambos sexos;33 Asturias;2013;48.394
TOTAL EXTRANJEROS;Ambos sexos;35 Palmas, Las;2022;142.828
TOTAL EXTRANJEROS;Ambos sexos;35 Palmas, Las;2021;143.898
TOTAL EXTRANJEROS;Ambos sexos;35 Palmas, Las;2020;146.721
TOTAL EXTRANJEROS;Ambos sexos;35 Palmas, Las;2019;138.560
TOTAL EXTRANJEROS;Ambos sexos;35 Palmas, Las;2018;131.478
TOTAL EXTRANJEROS;Ambos sexos;35 Palmas, Las;2017;125.716
TOTAL EXTRANJEROS;Ambos sexos;35 Palmas, Las;2016;126.817
TOTAL EXTRANJEROS;Ambos sexos;35 Palmas, Las;2015;131.298
TOTAL EXTRANJEROS;Ambos sexos;35 Palmas, Las;2014;139.912
TOTAL EXTRANJEROS;Ambos sexos;35 Palmas, Las;2013;154.789
